seed,round,aMs,dMs,ratioDOverA,pairedPercent,deltaMs,order,aHostUtc,dHostUtc,separationSeconds,descriptiveClass
2,15,2767,2953,1.067220816769064,6.7220816769064,186,DCBA,2026-09-12T18:50:50.961154+00:00,2026-09-12T18:50:09.599389+00:00,41.361765,high-high
2,16,2900,2978,1.026896551724138,2.6896551724137963,78,ABCD,2026-09-12T18:51:03.788728+00:00,2026-09-12T18:51:43.587650+00:00,39.798922,high-high
2,17,2821,2943,1.04324707550514,4.324707550513995,122,DCBA,2026-09-12T18:52:38.246174+00:00,2026-09-12T18:51:57.123369+00:00,41.122805,high-high
2,18,2861,2940,1.0276127228241874,2.7612722824187363,79,ABCD,2026-09-12T18:52:52.241080+00:00,2026-09-12T18:53:30.311934+00:00,38.070854,high-high
2,19,2836,3103,1.0941466854724964,9.414668547249638,267,DCBA,2026-09-12T18:54:26.205910+00:00,2026-09-12T18:53:43.836815+00:00,42.369095,high-high
2,20,2879,3089,1.072941993747829,7.294199374782906,210,ABCD,2026-09-12T18:54:40.954459+00:00,2026-09-12T18:55:27.190584+00:00,46.236125,high-high
2,21,2904,2952,1.0165289256198347,1.6528925619834656,48,DCBA,2026-09-12T18:56:26.199781+00:00,2026-09-12T18:55:44.304055+00:00,41.895726,high-high
2,22,2853,2877,1.0084121976866456,0.8412197686645584,24,ABCD,2026-09-12T18:56:38.881958+00:00,2026-09-12T18:57:21.072667+00:00,42.190709,high-high
3,3,2281,2370,1.0390179745725558,3.9017974572555847,89,DCBA,2026-09-12T19:21:23.002233+00:00,2026-09-12T19:20:46.012415+00:00,36.989818,low-low
3,4,2300,2423,1.0534782608695652,5.34782608695652,123,ABCD,2026-09-12T19:21:35.944650+00:00,2026-09-12T19:22:14.530503+00:00,38.585853,low-low
3,5,2304,2333,1.0125868055555556,1.258680555555558,29,DCBA,2026-09-12T19:23:07.534277+00:00,2026-09-12T19:22:27.651757+00:00,39.88252,low-low
3,6,2303,2421,1.051237516283109,5.123751628310891,118,ABCD,2026-09-12T19:23:21.119437+00:00,2026-09-12T19:23:59.519573+00:00,38.400136,low-low
3,7,2315,2355,1.0172786177105833,1.7278617710583255,40,DCBA,2026-09-12T19:24:49.163527+00:00,2026-09-12T19:24:12.256496+00:00,36.907031,low-low
3,8,2390,2330,0.9748953974895398,-2.5104602510460206,-60,ABCD,2026-09-12T19:25:02.367411+00:00,2026-09-12T19:25:38.622345+00:00,36.254934,low-low
3,9,2348,2262,0.9633730834752982,-3.6626916524701847,-86,DCBA,2026-09-12T19:26:29.962501+00:00,2026-09-12T19:25:50.894952+00:00,39.067549,low-low
3,10,2367,2409,1.017743979721166,1.7743979721166037,42,ABCD,2026-09-12T19:26:42.292223+00:00,2026-09-12T19:27:22.167559+00:00,39.875336,low-low
3,11,2229,2388,1.0713324360699865,7.133243606998652,159,DCBA,2026-09-12T19:28:16.300403+00:00,2026-09-12T19:27:36.897330+00:00,39.403073,low-low
3,12,2300,3112,1.3530434782608696,35.30434782608695,812,ABCD,2026-09-12T19:28:28.567765+00:00,2026-09-12T19:29:06.821006+00:00,38.253241,low-high
3,13,2803,3046,1.086692829111666,8.669282911166597,243,DCBA,2026-09-12T19:30:00.727646+00:00,2026-09-12T19:29:19.911221+00:00,40.816425,high-high
3,14,2944,3026,1.0278532608695652,2.785326086956519,82,ABCD,2026-09-12T19:30:13.190394+00:00,2026-09-12T19:30:53.211690+00:00,40.021296,high-high
3,15,2860,2835,0.9912587412587412,-0.8741258741258751,-25,DCBA,2026-09-12T19:31:50.687123+00:00,2026-09-12T19:31:06.848967+00:00,43.838156,high-high
3,16,2769,2695,0.9732755507403394,-2.6724449259660554,-74,ABCD,2026-09-12T19:32:05.051245+00:00,2026-09-12T19:32:43.980449+00:00,38.929204,high-high
3,17,3057,3042,0.9950932286555446,-0.4906771344455385,-15,DCBA,2026-09-12T19:33:36.690149+00:00,2026-09-12T19:32:57.768499+00:00,38.92165,high-high
3,18,2962,2819,0.9517218095881161,-4.827819041188386,-143,ABCD,2026-09-12T19:33:50.258777+00:00,2026-09-12T19:34:30.884253+00:00,40.625476,high-high
3,19,2975,2893,0.972436974789916,-2.7563025210084025,-82,DCBA,2026-09-12T19:35:24.133389+00:00,2026-09-12T19:34:43.723540+00:00,40.409849,high-high
3,20,2723,2986,1.096584649283878,9.6584649283878,263,ABCD,2026-09-12T19:35:36.830587+00:00,2026-09-12T19:36:19.399606+00:00,42.569019,high-high
3,21,2850,3104,1.0891228070175438,8.912280701754383,254,DCBA,2026-09-12T19:37:13.428448+00:00,2026-09-12T19:36:33.452590+00:00,39.975858,high-high
3,22,2915,2931,1.0054888507718696,0.5488850771869558,16,ABCD,2026-09-12T19:37:26.849652+00:00,2026-09-12T19:38:07.325487+00:00,40.475835,high-high
